

cd /home/josh/projects/franz/acl/406/src/agraph/lisp/agload/agload
./agload -i ntriples -e ignore -v -p 10042 -c demos throughput -g http://dbpedia.org /data/dbpedia/necessary/*gz | tee ~/throughput-agload-dbpedia.out


[1 thread]

receiver1: 1000 transactions (0 discarded) with 10 commits in 7799ms (real time) --> 128.22157/s at 2079990 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 7821ms (real time) --> 127.860886/s at 2099990 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 7799ms (real time) --> 128.22157/s at 2119990 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 7825ms (real time) --> 127.79553/s at 2139990 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 8697ms (real time) --> 114.98218/s at 2159990 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 3681ms (real time) --> 271.6653/s at 2072976 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 3690ms (real time) --> 271.00272/s at 2092976 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 3661ms (real time) --> 273.1494/s at 2112976 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 3691ms (real time) --> 270.9293/s at 2132976 triples
receiver1: 1000 transactions (0 discarded) with 10 commits in 3879ms (real time) --> 257.7984/s at 2152976 triples



[2 threads]
receiver2: 1000 transactions (0 discarded) with 10 commits in 7468ms (real time) --> 133.90466/s at 4404938 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 7515ms (real time) --> 133.0672/s at 4442933 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 7647ms (real time) --> 130.77023/s at 4482928 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 7659ms (real time) --> 130.56534/s at 4520928 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 7953ms (real time) --> 125.73871/s at 4558928 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 5918ms (real time) --> 168.97601/s at 4471902 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 3540ms (real time) --> 282.48587/s at 4509897 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 3798ms (real time) --> 263.29648/s at 4549897 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 3801ms (real time) --> 263.08868/s at 4587897 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 3951ms (real time) --> 253.10048/s at 4625897 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 4141ms (real time) --> 241.48756/s at 4665897 triples
receiver2: 1000 transactions (0 discarded) with 10 commits in 9630ms (real time) --> 103.84216/s at 4703897 triples



[3 threads]

receiver3: 1000 transactions (0 discarded) with 10 commits in 7793ms (real time) --> 128.3203/s at 8656611 triples
receiver3: 1000 transactions (0 discarded) with 10 commits in 7852ms (real time) --> 127.35608/s at 8716611 triples
receiver3: 1000 transactions (0 discarded) with 10 commits in 8075ms (real time) --> 123.839005/s at 8774606 triples
receiver3: 1000 transactions (0 discarded) with 10 commits in 9741ms (real time) --> 102.65887/s at 8834601 triples
receiver3: 1000 transactions (0 discarded) with 10 commits in 30076ms (real time) --> 33.249104/s at 8892601 triples
