,,,,,,,,,,,,
,void:class,The rdfs:Class that is the rdf:type of all entities in a class-based partition.,Section 4.5,,,,,,,,,
,void:classes,The total number of distinct classes in a void:Dataset.,Section 4.6,,,,,,,,,
,void:classPartition,A subset of a void:Dataset that contains only the entities of a certain rdfs:Class.,Section 4.5,,,,,,,,,
,void:dataDump,"An RDF dump, partial or complete, of a void:Dataset.",Section 3.3,,,,,,,,,
,void:distinctObjects,The total number of distinct objects in a void:Dataset.,Section 4.6,,,,,,,,,
,void:distinctSubjects,The total number of distinct subjects in a void:Dataset.,Section 4.6,,,,,,,,,
,void:documents,"The total number of documents, for void:Datasets that are published as a set of individual RDF documents.",Section 4.6,,,,,,,,,
,void:entities,The total number of entities that are described in a void:Dataset.,Section 4.6,,,,,,,,,
,void:exampleResource,An example entity that is representative for the entities described in a void:Dataset.,Section 4.1,,,,,,,,,
,void:feature,A void:TechnicalFeature supported by a void:Datset.,Section 2.5,,,,,,,,,
,void:inDataset,Points to the void:Dataset that a document is a part of.,Section 6.3,,,,,,,,,
,void:linkPredicate,Specifies the RDF property of the triples in a void:Linkset.,Section 5.3,,,,,,,,,
,void:objectsTarget,The void:Dataset that contains the resources in the object position of a void:Linkset's triples.,Section 5.1,,,,,,,,,
,void:openSearchDescription,An OpenSearch description document for a free-text search service over a void:Dataset.,Section 3.6,,,,,,,,,
,void:properties,The total number of distinct properties in a void:Dataset.,Section 4.6,,,,,,,,,
,void:property,The rdf:Property that is the predicate of all triples in a property-based partition.,Section 4.5,,,,,,,,,
,void:propertyPartition,A subset of a void:Dataset that contains only the triples of a certain rdf:Property.,Section 4.5,,,,,,,,,
,void:rootResource,A top concept or entry point for a void:Dataset that is structured in a tree-like fashion.,Section 3.4,,,,,,,,,
,void:sparqlEndpoint,A SPARQL protocol endpoint that allows SPARQL query access to a void:Dataset.,Section 3.2,,,,,,,,,
,void:subjectsTarget,The void:Dataset that contains the resources in the subject position of this void:Linkset's triples.,Section 5.1,,,,,,,,,
,void:subset,A void:Dataset that is part of another void:Dataset.,Section 4.4,,,,,,,,,
,void:target,One of the two void:Datasets connected by this void:Linkset.,Section 5.1,,,,,,,,,
,void:triples,The total number of triples contained in a void:Dataset.,Section 4.6,,,,,,,,,
,void:uriLookupEndpoint,A protocol endpoint for simple URI lookups for a void:Dataset.,Section 3.5,,,,,,,,,
,void:uriRegexPattern,A regular expression that matches the URIs of a void:Dataset's entities.,Section 4.2,,,,,,,,,
,void:uriSpace,A URI that is a common string prefix of all the entity URIs in a void:Datset.,Section 4.2,,,,,,,,,
,void:vocabulary,A vocabulary or owl:Ontology whose classes or properties are used in a void:Dataset.,Section 4.3,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
